SID,DATE,AGE,SMR,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._50,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._100,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._150,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._200,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._250,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._300,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._340,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._365,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._365_,AVG,CID,SCORE
PC200-8-N1-310933,20170517,3547,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351483,20170517,2213,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-310934,20170517,3582,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351486,20170517,2234,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351485,20170517,2221,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351484,20170517,2213,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351489,20170517,2228,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351488,20170517,2211,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300244,20170517,4012,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300243,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300240,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451749,20190917,1842,36155668,0.28262700055769957,0.17588459436014292,0.2970693281064535,0.14498141757469396,0.053290786938302456,0.03817719534320317,0.00421864699056314,0.0029103320674368402,8.406980615044922E-4,0.1111111111111111,9,2
PC200-10- -451748,20190917,1842,64605472,0.32740875262083063,0.1494939159333129,0.3155854352399128,0.14198351495675166,0.03722350329705818,0.023961437817527284,0.002459389198487707,0.001399231322077486,4.848196140413617E-4,0.1111111111111111,3,1
PC200-8-N1-310937,20170517,3542,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-310938,20170517,3547,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-310935,20170517,3547,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451747,20190917,1842,52095257,0.4393073826279425,0.13871681254974902,0.22182084637762706,0.1153061400580095,0.041632849608554574,0.0345948000602051,0.004835776124494404,0.0028161872778552565,9.692053155626049E-4,0.1111111111111111,2,1
PC200-10- -451746,20190917,1840,76133232,0.23974810369274746,0.1651886393053693,0.22919160978217765,0.2068536247088525,0.0830550580067322,0.05931434777391297,0.014711079125079046,0.001647887482302078,2.8965012282678343E-4,0.1111111111111111,9,2
PC200-8-N1-310936,20170517,3584,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-310939,20170517,3541,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-310922,20170517,3579,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-310920,20170517,3578,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313199,20170517,3347,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351476,20170517,2239,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351475,20170517,2247,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313198,20170517,3347,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313197,20170517,3347,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313196,20170517,3347,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350148,20170517,2522,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350149,20170517,2522,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351479,20170517,2219,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300257,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351478,20170517,2239,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300256,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351477,20170517,2241,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300254,20170517,4035,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300253,20170517,4101,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300252,20170517,4061,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300251,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300250,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451737,20190917,1842,73487398,0.37194589472333744,0.17762842821023545,0.26222953219816003,0.12099334364784559,0.04170362651838619,0.021082948126697858,0.0026859026904177503,0.0013347322489224616,3.955916359972359E-4,0.1111111111111111,6,1
PC200-10- -451734,20190917,1970,35682572,0.3184455145217671,0.16092584357428047,0.2697234100725699,0.1460105510331486,0.05725470125864245,0.037209565498809896,0.006091685319096393,0.002873055227072757,0.00146567349461244,0.1111111111111111,3,1
PC200-10- -451736,20190917,1842,58094511,0.3214111742846067,0.14802291734584014,0.2697679131854643,0.1501106016711286,0.06054387823317766,0.038716600953918004,0.006877327876983076,0.003693688031903737,8.558984169778105E-4,0.1111111111111111,3,1
PC200-10- -451735,20190917,1842,49083878,0.479063451343433,0.13372417313888688,0.24427623669018164,0.09924943175842789,0.025604354244381424,0.014326394503710567,0.0018316401161293735,0.0014558140658731161,4.68504138976142E-4,0.1111111111111111,2,1
PC200-10- -451731,20190917,1966,79307309,0.22300230865228324,0.18729669670168736,0.2559889404392727,0.18824374686575232,0.07219971364808254,0.06853087147364942,0.002262464863106123,0.0018223541035795325,6.529032525867194E-4,0.1111111111111111,9,2
PC200-8-N1-310952,20170517,3579,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351461,20170517,2248,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351460,20170517,2241,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352791,20170517,2024,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352790,20170517,2024,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-310953,20170517,3586,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300229,20170517,4102,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351463,20170517,2256,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352794,20170517,2014,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300227,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351462,20170517,2244,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300226,20170517,4065,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352799,20170517,2021,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300225,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352798,20170517,2001,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300224,20170517,4095,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300223,20170517,4101,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300222,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300221,20170517,4099,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350139,20170517,2513,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451722,20190917,1842,85583393,0.2946855472299398,0.18039425008541085,0.27880236064022373,0.13985361622669015,0.05754360545158568,0.03789288886922256,0.006737101437424899,0.0029969015133578542,0.0010937285461444606,0.1111111111111111,3,1
PC200-10- -451721,20190917,1842,48351435,0.3484077566674081,0.17958633492470286,0.28320454191276845,0.11141017841559407,0.043245851958685404,0.02820441627016861,0.003506514336130872,0.0017744871481063591,6.599183664352464E-4,0.1111111111111111,3,1
PC200-10- -451720,20190917,1842,53585791,0.30569284682202413,0.153246445498957,0.28436674565464565,0.150438070420571,0.05683919082205953,0.03706294080831988,0.009128091437523056,0.0024476824462663993,7.779860896333508E-4,0.1111111111111111,9,2
PC200-8-N1-310941,20170517,3579,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-310945,20170517,3547,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350122,20170517,2513,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350123,20170517,2513,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300239,20170517,3974,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300238,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352782,20170517,2018,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350121,20170517,2513,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352789,20170517,2024,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350126,20170517,2513,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352788,20170517,2024,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350127,20170517,2521,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300235,20170517,4081,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352787,20170517,2024,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351455,20170517,2261,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300233,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451719,20190917,1839,65099060,0.3608639817533464,0.17741961251053395,0.2604587838902743,0.11152267021981577,0.04937189569250309,0.03253469404934572,0.005100519116558672,0.0019246053629653024,8.032374046568414E-4,0.1111111111111111,6,1
PC200-8- -300232,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350128,20170517,2519,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300231,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300230,20170517,4101,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451712,20190917,1874,59863209,0.32623695465440217,0.14196793225702284,0.27343594293449924,0.15836337808085096,0.05557545369811365,0.03607945574718522,0.00518074465403283,0.0024065866565890245,7.53551317304089E-4,0.1111111111111111,9,2
PC200-10- -451711,20190917,1874,53375312,0.3582820274661814,0.16269358762717864,0.2702347482296684,0.1236352866658653,0.046078250558985026,0.031171845890099904,0.00476980818397839,0.002319574263097516,8.148711149454264E-4,0.1111111111111111,6,1
PC200-8-N1-310949,20170517,3526,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451710,20190917,1874,49478371,0.33706327962980026,0.17794128670889348,0.28117324234461966,0.12462764790700162,0.043710190054559395,0.028687605741910944,0.0043011319026651056,0.0018781944134741218,6.174212970754433E-4,0.1111111111111111,3,1
PC200-10- -451782,20190917,1905,5634817,0.27086451964633457,0.2063435245545685,0.25199966565018883,0.1337322933468824,0.06432010125617212,0.04659352734969033,0.01134393539311037,0.011958152323314137,0.0028442804797387386,0.1111111111111111,9,2
PC200-8-N1-352770,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300209,20170517,4100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300208,20170517,4106,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352774,20170517,1906,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-314498,20170517,3211,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300207,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350112,20170517,2525,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313165,20170517,3348,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352773,20170517,2024,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300206,20170517,4106,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352772,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300205,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313163,20170517,3326,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352771,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352778,20170517,2024,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351447,20170517,2239,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-314495,20170517,3185,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313169,20170517,3334,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351446,20170517,2263,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-314496,20170517,3211,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313168,20170517,3364,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-314497,20170517,3204,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350119,20170517,2519,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313173,20170517,3351,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451788,20190917,1935,103288984,0.3294163199436641,0.14617350675072957,0.24747738829534813,0.15989857156499865,0.058535845410193986,0.04173518639703146,0.010926073200603851,0.003888827098928575,0.0019482813385016935,0.1111111111111111,7,2
PC200-8- -300219,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351432,20170517,2266,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352763,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352762,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-314488,20170517,3189,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351431,20170517,2256,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300218,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351430,20170517,2256,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352761,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313153,20170517,3346,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300217,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352760,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313152,20170517,3339,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300216,20170517,4065,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300215,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352767,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313158,20170517,3352,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300214,20170517,4101,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352766,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350105,20170517,2381,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-314485,20170517,3180,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300213,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352765,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313157,20170517,3334,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350102,20170517,2535,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300212,20170517,4096,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352764,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313156,20170517,3334,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-350108,20170517,2525,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-314490,20170517,3180,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -300210,20170517,4100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-314492,20170517,3211,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352769,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351438,20170517,2267,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352768,20170517,2055,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-314493,20170517,3211,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313162,20170517,3334,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451774,20190917,1925,84569910,0.3450737265772188,0.20405326196988977,0.27247068135699803,0.1168432956828262,0.036134199504291774,0.021513893061964946,0.0022098876538948664,0.0012956263049115223,4.0542788800413765E-4,0.1111111111111111,3,1
PC200-8-N1-352752,20170517,2025,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351421,20170517,2267,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313188,20170517,3334,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352751,20170517,2025,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351420,20170517,2262,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352750,20170517,1940,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352755,20170517,2016,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352754,20170517,1995,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352753,20170517,2025,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313191,20170517,3335,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-351429,20170517,2262,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-352759,20170517,2024,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-313190,20170517,3334,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
